tribe,address,user name,display name,profile image,eliminated day
red,0xd165EcDE7e7825923c8A53CC0ce8f0D75E200dD0,F4ntast1cMrF0x,Mr. Fox 🦊,https://pbs.twimg.com/profile_images/1671289271720763395/-jbIdHox_normal.jpg,3
red,0xE7c8712fC60B20693046c71E5012801eaAfc7217,AlexisMasseron,Alexis Masseron,https://pbs.twimg.com/profile_images/1579487672640458752/F_IZrHU6_normal.jpg,3
red,0xA1E01696CF4F62ed4FaDB9c17D8D41E262948e24,nudaoliu,nu,https://pbs.twimg.com/profile_images/1714489163917959168/9nz5ALWf_normal.jpg,3
red,0xb9986334BFd05faa2465Fe0c3B4ee2330102A6D4,geezee_games,Geezee,https://pbs.twimg.com/profile_images/1713935965872594944/KNjAmf8T_normal.jpg,3
red,0x10D6d2e343281D388291A3e02f3293AaEdA67178,HelloShreyas,Shreyas Hariharan,https://pbs.twimg.com/profile_images/1730404629047820288/aWvmR7Q__normal.jpg,3
red,0x7310E238f2260ff111a941059B023B3eBCF2D54e,keirsim,KEIRAN,https://pbs.twimg.com/profile_images/1663698868536573955/1_gcB1hS_normal.jpg,3
red,0xcd6CC95D927A342bdd63A7b3F7E281728B291c1E,AleahBoudr20055,Aleah Boudreaux,https://pbs.twimg.com/profile_images/1739322558753689600/IEAgwzqt_normal.jpg,3
